,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
27,logistic,0.001,32,invscaling,100,23,adam,0.7169230769230769,0.6744186046511628,0.7213018676252247,0.6898148148148149,0.7169230769230769,0.6744186046511628,0.7206104796196224,0.6912144702842377,0.7146592890169029,0.6774891774891775,0.7169230769230769,0.6744186046511628,0.7169230769230769,0.6744186046511628,0.7139741333129257,0.6699561403508771,0.7169230769230769,0.6744186046511628,0.7147783906611488,0.66906364749082
28,identity,0.001,32,adaptive,100,23,adam,0.7446153846153846,0.6744186046511628,0.7513513513513514,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7526985446985447,0.6744186046511628,0.7467217463806564,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6744186046511628,0.7438295932612227,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7434366975841415,0.6744186046511628
29,logistic,0.01,64,adaptive,200,23,adam,0.7507692307692307,0.6744186046511628,0.7522030651340996,0.6811111111111111,0.7507692307692307,0.6744186046511628,0.7518343648688476,0.6820671834625324,0.7494694155991813,0.6764069264069263,0.7507692307692307,0.6744186046511628,0.7507692307692307,0.6744186046511628,0.7496219362570262,0.6728260869565217,0.7507692307692307,0.6744186046511628,0.750091284012019,0.6722952477249747
30,identity,0.01,64,adaptive,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
31,logistic,0.001,32,invscaling,200,23,adam,0.7446153846153846,0.6744186046511628,0.7465034965034965,0.6811111111111111,0.7446153846153846,0.6744186046511628,0.7460677783754706,0.6820671834625324,0.7431403016751308,0.6764069264069263,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6744186046511628,0.7432150710620757,0.6728260869565217,0.7446153846153846,0.6744186046511628,0.7437401886445666,0.6722952477249747
32,logistic,0.01,64,adaptive,100,23,adam,0.7230769230769231,0.6744186046511628,0.7285288114303659,0.6898148148148149,0.7230769230769231,0.6744186046511628,0.7277244344601858,0.6912144702842377,0.7206473129689988,0.6774891774891775,0.7230769230769231,0.6744186046511628,0.7230769230769231,0.6744186046511628,0.7198275862068966,0.6699561403508771,0.7230769230769231,0.6744186046511628,0.7206631299734748,0.66906364749082
33,logistic,0.01,32,constant,100,23,adam,0.7169230769230769,0.6744186046511628,0.7213018676252247,0.6898148148148149,0.7169230769230769,0.6744186046511628,0.7206104796196224,0.6912144702842377,0.7146592890169029,0.6774891774891775,0.7169230769230769,0.6744186046511628,0.7169230769230769,0.6744186046511628,0.7139741333129257,0.6699561403508771,0.7169230769230769,0.6744186046511628,0.7147783906611488,0.66906364749082
34,relu,0.01,32,adaptive,200,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
35,tanh,0.01,64,adaptive,200,23,adam,0.7630769230769231,0.627906976744186,0.7629715194667475,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7632877302972743,0.6411498708010336,0.7631509133631471,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7629961454318158,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7631173118994767,0.6217870257037944
36,identity,0.01,64,adaptive,200,23,adam,0.7630769230769231,0.627906976744186,0.7629715194667475,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7632877302972743,0.6411498708010336,0.7631509133631471,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7629961454318158,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7631173118994767,0.6217870257037944
37,tanh,0.01,32,invscaling,100,23,adam,0.7476923076923077,0.6744186046511628,0.7539700894233734,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7552840437391779,0.6744186046511628,0.7497157583567043,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7470000759474443,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7466336003178108,0.6744186046511628
38,identity,0.01,64,constant,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
39,logistic,0.01,64,constant,100,23,adam,0.7230769230769231,0.6744186046511628,0.7285288114303659,0.6898148148148149,0.7230769230769231,0.6744186046511628,0.7277244344601858,0.6912144702842377,0.7206473129689988,0.6774891774891775,0.7230769230769231,0.6744186046511628,0.7230769230769231,0.6744186046511628,0.7198275862068966,0.6699561403508771,0.7230769230769231,0.6744186046511628,0.7206631299734748,0.66906364749082
40,identity,0.01,64,invscaling,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
41,relu,0.001,64,invscaling,100,23,adam,0.76,0.627906976744186,0.7752032520325203,0.6502463054187192,0.76,0.627906976744186,0.7735934959349594,0.6517355939970214,0.7565754566815737,0.6320346320346321,0.76,0.627906976744186,0.76,0.627906976744186,0.754873520538408,0.6177777777777778,0.76,0.627906976744186,0.7558551868182872,0.6163307493540052
42,identity,0.001,32,adaptive,200,23,adam,0.7569230769230769,0.6511627906976745,0.7571969696969697,0.660633484162896,0.7569230769230769,0.6511627906976745,0.7576899766899767,0.6616857834368095,0.7573334343970287,0.6536796536796536,0.7569230769230769,0.6511627906976745,0.7569230769230769,0.6511627906976745,0.7569138712945342,0.6481178396072014,0.7569230769230769,0.6511627906976745,0.7569552966229763,0.6473566018345831
43,tanh,0.001,32,adaptive,100,23,adam,0.7476923076923077,0.6744186046511628,0.7539700894233734,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7552840437391779,0.6744186046511628,0.7497157583567043,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7470000759474443,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7466336003178108,0.6744186046511628
44,logistic,0.001,64,constant,100,23,adam,0.7292307692307692,0.6744186046511628,0.7340001562866296,0.6898148148148149,0.7292307692307692,0.6744186046511628,0.7332470951725465,0.6912144702842377,0.7269764268930494,0.6774891774891775,0.7292307692307692,0.6744186046511628,0.7292307692307692,0.6744186046511628,0.7264100405601899,0.6699561403508771,0.7292307692307692,0.6744186046511628,0.7271793301976206,0.66906364749082
45,identity,0.001,64,adaptive,200,23,adam,0.7630769230769231,0.627906976744186,0.7629715194667475,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7632877302972743,0.6411498708010336,0.7631509133631471,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7629961454318158,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7631173118994767,0.6217870257037944
46,tanh,0.01,64,adaptive,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
47,tanh,0.001,32,invscaling,200,23,adam,0.76,0.627906976744186,0.7598484848484848,0.6400462962962963,0.76,0.627906976744186,0.7601212121212121,0.6411498708010336,0.7599863564011218,0.6309523809523809,0.76,0.627906976744186,0.76,0.627906976744186,0.7598886110479655,0.6228070175438596,0.76,0.627906976744186,0.760031825414867,0.6217870257037944
48,relu,0.01,64,adaptive,200,23,adam,0.7661538461538462,0.627906976744186,0.7694015444015444,0.6400462962962963,0.7661538461538462,0.627906976744186,0.7687520047520047,0.6411498708010336,0.7644394754794208,0.6309523809523809,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.7645286760219646,0.6228070175438596,0.7661538461538462,0.627906976744186,0.7650703993992585,0.6217870257037944
49,relu,0.001,64,invscaling,200,23,adam,0.7630769230769231,0.627906976744186,0.78125,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7794526627218934,0.6517355939970214,0.7593989236716441,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7573333333333333,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7583671794871795,0.6163307493540052
50,logistic,0.01,64,constant,200,23,adam,0.7507692307692307,0.6744186046511628,0.7522030651340996,0.6811111111111111,0.7507692307692307,0.6744186046511628,0.7518343648688476,0.6820671834625324,0.7494694155991813,0.6764069264069263,0.7507692307692307,0.6744186046511628,0.7507692307692307,0.6744186046511628,0.7496219362570262,0.6728260869565217,0.7507692307692307,0.6744186046511628,0.750091284012019,0.6722952477249747
51,logistic,0.01,32,adaptive,200,23,adam,0.7446153846153846,0.6744186046511628,0.7465034965034965,0.6811111111111111,0.7446153846153846,0.6744186046511628,0.7460677783754706,0.6820671834625324,0.7431403016751308,0.6764069264069263,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6744186046511628,0.7432150710620757,0.6728260869565217,0.7446153846153846,0.6744186046511628,0.7437401886445666,0.6722952477249747
52,relu,0.001,32,adaptive,100,23,adam,0.7476923076923077,0.6511627906976745,0.7521072796934867,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7532425582080755,0.6518675123326286,0.7493746683847495,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7472879684418146,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7470080412683963,0.6511627906976745
53,tanh,0.001,32,invscaling,100,23,adam,0.7476923076923077,0.6744186046511628,0.7539700894233734,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7552840437391779,0.6744186046511628,0.7497157583567043,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7470000759474443,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7466336003178108,0.6744186046511628
54,relu,0.001,64,adaptive,200,23,adam,0.7630769230769231,0.627906976744186,0.78125,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7794526627218934,0.6517355939970214,0.7593989236716441,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7573333333333333,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7583671794871795,0.6163307493540052
55,relu,0.01,32,constant,100,23,adam,0.7476923076923077,0.6511627906976745,0.7521072796934867,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7532425582080755,0.6518675123326286,0.7493746683847495,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7472879684418146,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7470080412683963,0.6511627906976745
56,tanh,0.01,32,constant,100,23,adam,0.7476923076923077,0.6744186046511628,0.7539700894233734,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7552840437391779,0.6744186046511628,0.7497157583567043,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7470000759474443,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7466336003178108,0.6744186046511628
57,logistic,0.001,64,invscaling,200,23,adam,0.7507692307692307,0.6744186046511628,0.7522030651340996,0.6811111111111111,0.7507692307692307,0.6744186046511628,0.7518343648688476,0.6820671834625324,0.7494694155991813,0.6764069264069263,0.7507692307692307,0.6744186046511628,0.7507692307692307,0.6744186046511628,0.7496219362570262,0.6728260869565217,0.7507692307692307,0.6744186046511628,0.750091284012019,0.6722952477249747
